CGRAM Dump (512 bytes = 256 colors)
========================================
CGRAM[000] = 0x0000 (RGB: 000, 000, 000)
CGRAM[001] = 0x0000 (RGB: 000, 000, 000)
CGRAM[002] = 0x0000 (RGB: 000, 000, 000)
CGRAM[003] = 0x0000 (RGB: 000, 000, 000)
CGRAM[004] = 0x0000 (RGB: 000, 000, 000)
CGRAM[005] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[006] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[007] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[008] = 0x0000 (RGB: 000, 000, 000)
CGRAM[009] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[00a] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[00b] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[00c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[00d] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[00e] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[00f] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[010] = 0x0000 (RGB: 000, 000, 000)
CGRAM[011] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[012] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[013] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[014] = 0x0000 (RGB: 000, 000, 000)
CGRAM[015] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[016] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[017] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[018] = 0x0000 (RGB: 000, 000, 000)
CGRAM[019] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[01a] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[01b] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[01c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[01d] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[01e] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[01f] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[020] = 0x0000 (RGB: 000, 000, 000)
CGRAM[021] = 0x0000 (RGB: 000, 000, 000)
CGRAM[022] = 0x0000 (RGB: 000, 000, 000)
CGRAM[023] = 0x0000 (RGB: 000, 000, 000)
CGRAM[024] = 0x0000 (RGB: 000, 000, 000)
CGRAM[025] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[026] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[027] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[028] = 0x0000 (RGB: 000, 000, 000)
CGRAM[029] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[02a] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[02b] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[02c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[02d] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[02e] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[02f] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[030] = 0x0000 (RGB: 000, 000, 000)
CGRAM[031] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[032] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[033] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[034] = 0x0000 (RGB: 000, 000, 000)
CGRAM[035] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[036] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[037] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[038] = 0x0000 (RGB: 000, 000, 000)
CGRAM[039] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[03a] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[03b] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[03c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[03d] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[03e] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[03f] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[040] = 0x0000 (RGB: 000, 000, 000)
CGRAM[041] = 0x0000 (RGB: 000, 000, 000)
CGRAM[042] = 0x0000 (RGB: 000, 000, 000)
CGRAM[043] = 0x0000 (RGB: 000, 000, 000)
CGRAM[044] = 0x0000 (RGB: 000, 000, 000)
CGRAM[045] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[046] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[047] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[048] = 0x0000 (RGB: 000, 000, 000)
CGRAM[049] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[04a] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[04b] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[04c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[04d] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[04e] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[04f] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[050] = 0x0000 (RGB: 000, 000, 000)
CGRAM[051] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[052] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[053] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[054] = 0x0000 (RGB: 000, 000, 000)
CGRAM[055] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[056] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[057] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[058] = 0x0000 (RGB: 000, 000, 000)
CGRAM[059] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[05a] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[05b] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[05c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[05d] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[05e] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[05f] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[060] = 0x0000 (RGB: 000, 000, 000)
CGRAM[061] = 0x0000 (RGB: 000, 000, 000)
CGRAM[062] = 0x0000 (RGB: 000, 000, 000)
CGRAM[063] = 0x0000 (RGB: 000, 000, 000)
CGRAM[064] = 0x0000 (RGB: 000, 000, 000)
CGRAM[065] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[066] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[067] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[068] = 0x0000 (RGB: 000, 000, 000)
CGRAM[069] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[06a] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[06b] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[06c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[06d] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[06e] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[06f] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[070] = 0x0000 (RGB: 000, 000, 000)
CGRAM[071] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[072] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[073] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[074] = 0x0000 (RGB: 000, 000, 000)
CGRAM[075] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[076] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[077] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[078] = 0x0000 (RGB: 000, 000, 000)
CGRAM[079] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[07a] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[07b] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[07c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[07d] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[07e] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[07f] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[080] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[081] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[082] = 0x0000 (RGB: 000, 000, 000)
CGRAM[083] = 0x0d71 (RGB: 088, 058, 018)
CGRAM[084] = 0x1e9b (RGB: 0d8, 0a0, 038)
CGRAM[085] = 0x3b7f (RGB: 0f8, 0d8, 070)
CGRAM[086] = 0x635f (RGB: 0f8, 0d0, 0c0)
CGRAM[087] = 0x1c16 (RGB: 0b0, 000, 038)
CGRAM[088] = 0x180d (RGB: 068, 000, 030)
