CGRAM Dump (512 bytes = 256 colors)
========================================
CGRAM[000] = 0x0000 (RGB: 000, 000, 000)
CGRAM[001] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[002] = 0x1084 (RGB: 020, 020, 020)
CGRAM[003] = 0x18c6 (RGB: 030, 030, 030)
CGRAM[004] = 0x2108 (RGB: 040, 040, 040)
CGRAM[005] = 0x294a (RGB: 050, 050, 050)
CGRAM[006] = 0x318c (RGB: 060, 060, 060)
CGRAM[007] = 0x39ce (RGB: 070, 070, 070)
CGRAM[008] = 0x4631 (RGB: 088, 088, 088)
CGRAM[009] = 0x4e73 (RGB: 098, 098, 098)
CGRAM[00a] = 0x56b5 (RGB: 0a8, 0a8, 0a8)
CGRAM[00b] = 0x5ef7 (RGB: 0b8, 0b8, 0b8)
CGRAM[00c] = 0x6739 (RGB: 0c8, 0c8, 0c8)
CGRAM[00d] = 0x6f7b (RGB: 0d8, 0d8, 0d8)
CGRAM[00e] = 0x77bd (RGB: 0e8, 0e8, 0e8)
CGRAM[00f] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[010] = 0x0000 (RGB: 000, 000, 000)
CGRAM[011] = 0x0002 (RGB: 010, 000, 000)
CGRAM[012] = 0x0004 (RGB: 020, 000, 000)
CGRAM[013] = 0x0006 (RGB: 030, 000, 000)
CGRAM[014] = 0x0008 (RGB: 040, 000, 000)
CGRAM[015] = 0x000a (RGB: 050, 000, 000)
CGRAM[016] = 0x000c (RGB: 060, 000, 000)
CGRAM[017] = 0x000e (RGB: 070, 000, 000)
CGRAM[018] = 0x0011 (RGB: 088, 000, 000)
CGRAM[019] = 0x0013 (RGB: 098, 000, 000)
CGRAM[01a] = 0x0015 (RGB: 0a8, 000, 000)
CGRAM[01b] = 0x0017 (RGB: 0b8, 000, 000)
CGRAM[01c] = 0x0019 (RGB: 0c8, 000, 000)
CGRAM[01d] = 0x001b (RGB: 0d8, 000, 000)
CGRAM[01e] = 0x001d (RGB: 0e8, 000, 000)
CGRAM[01f] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[020] = 0x0000 (RGB: 000, 000, 000)
CGRAM[021] = 0x0040 (RGB: 000, 010, 000)
CGRAM[022] = 0x0080 (RGB: 000, 020, 000)
CGRAM[023] = 0x00c0 (RGB: 000, 030, 000)
CGRAM[024] = 0x0100 (RGB: 000, 040, 000)
CGRAM[025] = 0x0140 (RGB: 000, 050, 000)
CGRAM[026] = 0x0180 (RGB: 000, 060, 000)
CGRAM[027] = 0x01c0 (RGB: 000, 070, 000)
CGRAM[028] = 0x0220 (RGB: 000, 088, 000)
CGRAM[029] = 0x0260 (RGB: 000, 098, 000)
CGRAM[02a] = 0x02a0 (RGB: 000, 0a8, 000)
CGRAM[02b] = 0x02e0 (RGB: 000, 0b8, 000)
CGRAM[02c] = 0x0320 (RGB: 000, 0c8, 000)
CGRAM[02d] = 0x0360 (RGB: 000, 0d8, 000)
CGRAM[02e] = 0x03a0 (RGB: 000, 0e8, 000)
CGRAM[02f] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[030] = 0x0000 (RGB: 000, 000, 000)
CGRAM[031] = 0x0800 (RGB: 000, 000, 010)
CGRAM[032] = 0x1000 (RGB: 000, 000, 020)
CGRAM[033] = 0x1800 (RGB: 000, 000, 030)
CGRAM[034] = 0x2000 (RGB: 000, 000, 040)
CGRAM[035] = 0x2800 (RGB: 000, 000, 050)
CGRAM[036] = 0x3000 (RGB: 000, 000, 060)
CGRAM[037] = 0x3800 (RGB: 000, 000, 070)
CGRAM[038] = 0x4400 (RGB: 000, 000, 088)
CGRAM[039] = 0x4c00 (RGB: 000, 000, 098)
CGRAM[03a] = 0x5400 (RGB: 000, 000, 0a8)
CGRAM[03b] = 0x5c00 (RGB: 000, 000, 0b8)
CGRAM[03c] = 0x6400 (RGB: 000, 000, 0c8)
CGRAM[03d] = 0x6c00 (RGB: 000, 000, 0d8)
CGRAM[03e] = 0x7400 (RGB: 000, 000, 0e8)
CGRAM[03f] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[040] = 0x0000 (RGB: 000, 000, 000)
CGRAM[041] = 0x0421 (RGB: 008, 008, 008)
CGRAM[042] = 0x0842 (RGB: 010, 010, 010)
CGRAM[043] = 0x0c63 (RGB: 018, 018, 018)
CGRAM[044] = 0x1084 (RGB: 020, 020, 020)
CGRAM[045] = 0x14a5 (RGB: 028, 028, 028)
CGRAM[046] = 0x18c6 (RGB: 030, 030, 030)
CGRAM[047] = 0x1ce7 (RGB: 038, 038, 038)
CGRAM[048] = 0x2108 (RGB: 040, 040, 040)
CGRAM[049] = 0x2529 (RGB: 048, 048, 048)
CGRAM[04a] = 0x294a (RGB: 050, 050, 050)
CGRAM[04b] = 0x2d6b (RGB: 058, 058, 058)
CGRAM[04c] = 0x318c (RGB: 060, 060, 060)
CGRAM[04d] = 0x35ad (RGB: 068, 068, 068)
CGRAM[04e] = 0x39ce (RGB: 070, 070, 070)
CGRAM[04f] = 0x3def (RGB: 078, 078, 078)
CGRAM[050] = 0x4210 (RGB: 080, 080, 080)
CGRAM[051] = 0x4631 (RGB: 088, 088, 088)
CGRAM[052] = 0x4a52 (RGB: 090, 090, 090)
CGRAM[053] = 0x4e73 (RGB: 098, 098, 098)
CGRAM[054] = 0x5294 (RGB: 0a0, 0a0, 0a0)
CGRAM[055] = 0x56b5 (RGB: 0a8, 0a8, 0a8)
CGRAM[056] = 0x5ad6 (RGB: 0b0, 0b0, 0b0)
CGRAM[057] = 0x5ef7 (RGB: 0b8, 0b8, 0b8)
CGRAM[058] = 0x6318 (RGB: 0c0, 0c0, 0c0)
CGRAM[059] = 0x6739 (RGB: 0c8, 0c8, 0c8)
CGRAM[05a] = 0x6b5a (RGB: 0d0, 0d0, 0d0)
CGRAM[05b] = 0x6f7b (RGB: 0d8, 0d8, 0d8)
CGRAM[05c] = 0x739c (RGB: 0e0, 0e0, 0e0)
CGRAM[05d] = 0x77bd (RGB: 0e8, 0e8, 0e8)
CGRAM[05e] = 0x7bde (RGB: 0f0, 0f0, 0f0)
CGRAM[05f] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[060] = 0x0000 (RGB: 000, 000, 000)
CGRAM[061] = 0x0421 (RGB: 008, 008, 008)
