[Cyc:0000000000 F:0000] PC:0x008000 | 18          | CLC          | A:0x0000 | X:0x0000 | Y:0x0000 | SP:0xff | P:0x34 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:1
[Cyc:0000000001 F:0000] PC:0x008001 | FB          | XCE          | A:0x0000 | X:0x0000 | Y:0x0000 | SP:0xff | P:0x34 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:1
[Cyc:0000000002 F:0000] PC:0x008002 | C2 10       | REP          | A:0x0000 | X:0x0000 | Y:0x0000 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000000003 F:0000] PC:0x008004 | E2 20       | SEP          | A:0x0000 | X:0x0000 | Y:0x0000 | SP:0xff | P:0x25 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000000004 F:0000] PC:0x008006 | A2 00 00    | LDX #        | A:0x0000 | X:0x0000 | Y:0x0000 | SP:0xff | P:0x25 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000000005 F:0000] PC:0x008009 | A9 00       | LDA #        | A:0x0000 | X:0x0000 | Y:0x0000 | SP:0xff | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0

[Cyc:0000000006 F:0000] PC:0x00800b | 9D 00 00    | STA abs,X    | A:0x0000 | X:0x0000 | Y:0x0000 | SP:0xff | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000000007 F:0000] PC:0x00800e | E8          | INX          | A:0x0000 | X:0x0000 | Y:0x0000 | SP:0xff | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000000008 F:0000] PC:0x00800f | E0 00 02    | CPX #        | A:0x0000 | X:0x0001 | Y:0x0000 | SP:0xff | P:0x25 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000000009 F:0000] PC:0x008012 | D0 F7       | BNE          | A:0x0000 | X:0x0001 | Y:0x0000 | SP:0xff | P:0xa4 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
iterates 0x200 times

[Cyc:0000002054 F:0000] PC:0x008014 | A2 FF 01    | LDX #        | A:0x0000 | X:0x0200 | Y:0x0000 | SP:0xff | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000002055 F:0000] PC:0x008017 | 9A          | TXS          | A:0x0000 | X:0x01ff | Y:0x0000 | SP:0xff | P:0x25 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000002056 F:0000] PC:0x008018 | A9 8F       | LDA #        | A:0x0000 | X:0x01ff | Y:0x0000 | SP:0xff | P:0x25 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000002057 F:0000] PC:0x00801a | 8D 00 21    | STA abs      | A:0x008f | X:0x01ff | Y:0x0000 | SP:0xff | P:0xa5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000002058 F:0000] PC:0x00801d | C2 30       | REP          | A:0x008f | X:0x01ff | Y:0x0000 | SP:0xff | P:0xa5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000002059 F:0000] PC:0x00801f | A9 FF 7F    | LDA #        | A:0x008f | X:0x01ff | Y:0x0000 | SP:0xff | P:0x85 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000002060 F:0000] PC:0x008022 | A2 00 80    | LDX #        | A:0x7fff | X:0x01ff | Y:0x0000 | SP:0xff | P:0x05 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000002061 F:0000] PC:0x008025 | A0 00 00    | LDY #        | A:0x7fff | X:0x8000 | Y:0x0000 | SP:0xff | P:0x85 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0

