=== PPU Rendering Trace ===
Format: [Frame] Scanline | Event | Details
========================================
[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2100] = $f

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2101] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2102] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2103] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2105] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2106] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2107] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2108] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2109] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$210a] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$210b] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$210c] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$210d] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$210e] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$210f] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2110] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2111] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2112] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2113] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2114] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2115] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2116] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2117] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$211a] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$211b] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$211c] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$211d] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$211e] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$211f] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2120] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2121] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2122] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2123] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2124] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2125] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2126] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2127] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2128] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2129] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$212a] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$212b] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$212c] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$212d] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$212e] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$212f] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2130] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2131] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2132] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2133] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2134] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2135] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2136] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2137] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2138] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2139] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$213a] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$213b] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$213c] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$213d] = $0

[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$213e] = $0

